drugName,cIds,smilesString
BMS-599626,CIDs10437018,CC1=C2C(=NC=NN2C=C1NC(=O)OCC3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F
AZD-3759,CIDs78209992,CC1CN(CCN1C(=O)OC2=C(C=C3C(=C2)C(=NC=N3)NC4=C(C(=CC=C4)Cl)F)OC)C
AG-1478,CIDs00002051,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Cl)OC
Osimertinib mesylate,CIDs78357807,CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC.CS(=O)(=O)O
Rociletinib,CIDs57335384,CC(=O)N1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)NC4=CC(=CC=C4)NC(=O)C=C)C(F)(F)F)OC
Naquotinib mesylate,CIDs92135932,CCC1=C(N=C(C(=N1)C(=O)N)NC2=CC=C(C=C2)N3CCC(CC3)N4CCN(CC4)C)OC5CCN(C5)C(=O)C=C.CS(=O)(=O)O
PF-06747775,CIDs91668194,CN1C=C(C(=N1)OC)NC2=NC(=NC3=C2N=CN3C)N4CC(C(C4)F)NC(=O)C=C
EAI045,CIDs121231412,C1C2=CC=CC=C2C(=O)N1C(C3=C(C=CC(=C3)F)O)C(=O)NC4=NC=CS4
WHI-P154,CIDs00003795,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)O)Br)OC
Mubritinib,CIDs06444692,C1=CC(=CC=C1CCCCN2C=CN=N2)OCC3=COC(=N3)C=CC4=CC=C(C=C4)C(F)(F)F
ARRY-380,CIDs42598643,CC1=C(C=CC(=C1)NC2=NC=NC3=C2C=C(C=C3)C4=CC=C(O4)CNCCS(=O)(=O)C)OC5=CC6=NC=NN6C=C5
Tucatinib,CIDs51039094,CC1=C(C=CC(=C1)NC2=NC=NC3=C2C=C(C=C3)NC4=NC(CO4)(C)C)OC5=CC6=NC=NN6C=C5
Sapitinib,CIDs11488320,CNC(=O)CN1CCC(CC1)OC2=C(C=C3C(=C2)C(=NC=N3)NC4=C(C(=CC=C4)Cl)F)OC
AST-1306,CIDs24739943,C=CC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=C(C=C3)OCC4=CC(=CC=C4)F)Cl
PF-956980,CIDs53344620,CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)N4CCCC4
MK-2461,CIDs44137945,CN1C=C(C=N1)C2=CN=C3C=CC4=C(C=C(C=C4)[N-]S(=O)(=O)N(C)CC5COCCO5)C(=O)C3=C2.O.O.[Na+]
CH-5183284,CIDs66555680,CC1=NC2=C(N1)C=C(C=C2)N3C(=C(C=N3)C(=O)C4=CC5=CC=CC=C5N4)N
Erdafitinib,CIDs67462786,CC(C)NCCN(C1=CC2=NC(=CN=C2C=C1)C3=CN(N=C3)C)C4=CC(=CC(=C4)OC)OC
SU-5402,CIDs05289418,CC1=CNC(=C1CCC(=O)O)C=C2C3=CC=CC=C3NC2=O
AZD-4547,CIDs51039095,CC1CN(CC(N1)C)C2=CC=C(C=C2)C(=O)NC3=NNC(=C3)CCC4=CC(=CC(=C4)OC)OC
BLU-9931,CIDs72710839,CC1=C(C(=CC=C1)NC(=O)C=C)NC2=NC=C3C=C(C=CC3=N2)C4=C(C(=CC(=C4Cl)OC)OC)Cl
Derazantinib,CIDs46834118,COCCNCCC1=CC(=CC=C1)NC2=NC=C3CC(C4=CC=CC=C4C3=N2)C5=CC=CC=C5F
LY-2874455,CIDs46944259,CC(C1=C(C=NC=C1Cl)Cl)OC2=CC3=C(C=C2)NN=C3C=CC4=CN(N=C4)CCO
ACTB-1003,CIDs23653175,COCC1=C(N2C(=C1C3=CC(=C(C=C3)NC(=O)NC4=C(C=CC(=C4)C(F)(F)F)F)F)C(=NC=N2)N)CN5CCOCC5
Infigratinib,CIDs53235510,CCN1CCN(CC1)C2=CC=C(C=C2)NC3=CC(=NC=N3)N(C)C(=O)NC4=C(C(=CC(=C4Cl)OC)OC)Cl
BLU-554,CIDs91885617,COC1=CC(=C(C(=C1Cl)C2=CC3=CN=C(N=C3C=C2)NC4COCCC4NC(=O)C=C)Cl)OC
NVP-FGF-401,CIDs118036971,CN1CCN(C(=O)C1)CC2=C(N=C3C(=C2)CCCN3C(=O)NC4=NC=C(C(=C4)NCCOC)C#N)C=O
Suramin sodium,CIDs00008514,CC1=C(C=C(C=C1)C(=O)NC2=C3C(=CC(=CC3=C(C=C2)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])NC(=O)C4=CC(=CC=C4)NC(=O)NC5=CC=CC(=C5)C(=O)NC6=C(C=CC(=C6)C(=O)NC7=C8C(=CC(=CC8=C(C=C7)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])C.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+]
Semaxanib,CIDs05329098,CC1=CC(=C(N1)C=C2C3=CC=CC=C3NC2=O)C
AST-487,CIDs11409972,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
SKLB4771,CIDs57412684,CC1=CC=C(C=C1)NC(=O)NC2=NN=C(S2)SC3=NC=NC4=C3C=CC(=C4)OCCCN5CCOCC5
UNC-2025,CIDs73425588,CCCCNC1=NC=C2C(=CN(C2=N1)C3CCC(CC3)O)C4=CC=C(C=C4)CN5CCN(CC5)C
NCGC00262376,CIDs73265219,C1CNCC1NC2=CC=CC(=N2)C3=CN=C4N3C=C(C=C4)C5=CNN=C5
HMSL10087,CIDs42628535,CC(C)N1C(=O)CCN(C2=NC(=NC=C21)NC3=C(C=C(C=C3)C(=O)NC4CCN(CC4)C)OC)C5CCCC5
NVP-TAE226,CIDs09934347,CNC(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCOCC4)OC
GSK-2256098,CIDs46214930,CC1=NN(C(=C1)NC2=NC=C(C(=C2)NC3=CC=CC=C3C(=O)NOC)Cl)C(C)C
Defactinib,CIDs25117126,CNC(=O)C1=CC=C(C=C1)NC2=NC=C(C(=N2)NCC3=NC=CN=C3N(C)S(=O)(=O)C)C(F)(F)F
P21d hydrochloride,CIDs129316185,C1CC1C2=CN3C(=CN=C3C(=N2)NC4=C(C=C(C=C4)C(=O)N5CCOCC5)F)C6=CNN=C6.Cl
SB-415286,CIDs04210951,C1=CC=C(C(=C1)C2=C(C(=O)NC2=O)NC3=CC(=C(C=C3)O)Cl)[N+](=O)[O-]
AZD-2858,CIDs10138980,CN1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)C3=CN=C(C(=N3)C(=O)NC4=CN=CC=C4)N
TWS-119,CIDs09549289,C1=CC(=CC(=C1)N)C2=CC3=C(N2)N=CN=C3OC4=CC=CC(=C4)O
LY-2090314,CIDs10029385,C1CCN(CC1)C(=O)N2CCN3C=C(C4=CC(=CC(=C43)C2)F)C5=C(C(=O)NC5=O)C6=CN=C7N6C=CC=C7
BIO,CIDs00448949,C1=CC=C2C(=C1)C(=C(N2)C3=C(NC4=C3C=CC(=C4)Br)O)N=O
Valproic acid sodium salt,CIDs16760703,CCCC(CCC)C(=O)[O-].[Na+]
GSK3 Inhibitor,CIDs06419766,CC1=CC(=NN1)NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4
CT-98014,CIDs53396311,C1=CC(=C(C=C1Cl)Cl)C2=NC(=NC=C2N3C=CN=C3)NCCNC4=NC(=C(C=C4)[N+](=O)[O-])N
6-Bromoindirubin-3'-acetoxime,CIDs135398521,CC(=O)ON=C1C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
Tideglusib,CIDs11313622,C1=CC=C(C=C1)CN2C(=O)N(SC2=O)C3=CC=CC4=CC=CC=C43
AMG-337,CIDs44181686,CC(C1=NN=C2N1C=C(C=C2F)C3=CN(N=C3)C)N4C=CC5=NC=C(C=C5C4=O)OCCOC
Savolitinib,CIDs68289010,CC(C1=CN2C=CN=C2C=C1)N3C4=NC(=CN=C4N=N3)C5=CN(N=C5)C
SU-MI-2,CIDs09549297,CC1=C(NC(=C1C(=O)N2CCN(CC2)C)C)C=C3C4=C(C=CC(=C4)S(=O)(=O)N(C)C5=CC(=CC=C5)Cl)NC3=O
EMD-1214063,CIDs25171647,CN1CCC(CC1)COC2=CN=C(N=C2)C3=CC(=CC=C3)CN4C(=O)C=CC(=N4)C5=CC=CC(=C5)C#N.Cl
BMS-2,CIDs21081761,C1=CN(C(=O)C(=C1)C(=O)NC2=CC(=C(C=C2)OC3=C4C=CNC4=NC=C3)F)C5=CC=C(C=C5)F
AMG-1,CIDs16757524,CC1=C(C(=O)N(N1CC(C)(C)O)C2=CC=CC=C2)C(=O)NC3=CC(=C(C=C3)OC4=C5C=CC(=CC5=NC=C4)OC)F
AMG-208,CIDs24864821,COC1=CC2=NC=CC(=C2C=C1)OCC3=NN=C4N3N=C(C=C4)C5=CC=CC=C5
MGCD-265,CIDs24901704,CN1C=C(N=C1)C2=CC3=NC=CC(=C3S2)OC4=C(C=C(C=C4)NC(=S)NC(=O)CC5=CC=CC=C5)F
AMG-458,CIDs24764449,CC1=C(C(=O)N(N1CC(C)(C)O)C2=CC=CC=C2)C(=O)NC3=NC=C(C=C3)OC4=C5C=CC(=CC5=NC=C4)OC
Tivantinib,CIDs11494412,C1CC2=CC=CC3=C2N(C1)C=C3C4C(C(=O)NC4=O)C5=CNC6=CC=CC=C65
NVP-BVU-972,CIDs44206063,CN1C=C(C=N1)C2=NN3C(=NC=C3CC4=CC5=C(C=C4)N=CC=C5)C=C2
Capmatinib,CIDs25145656,CNC(=O)C1=C(C=C(C=C1)C2=NN3C(=CN=C3N=C2)CC4=CC5=C(C=C4)N=CC=C5)F
MK-8033,CIDs45142457,CN1C=C(C=N1)C2=CN=C3C=CC4=C(C=C(C=C4)CS(=O)(=O)NCC5=CC=CC=N5)C(=O)C3=C2
Altiratinib,CIDs54576299,C1CC1C(=O)NC2=NC=CC(=C2)OC3=C(C=C(C(=C3)F)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F)F
NPS-1034,CIDs46194178,CC1=C(C(=O)N(N1C)C2=CC=C(C=C2)F)C(=O)NC3=CC(=C(C=C3)OC4=C5C(=CNC5=NC=C4)C6=CC=CC=C6)F
GNE-495,CIDs89730041,C1CC1C(=O)N2CC(C2)NC(=O)C3=CN=C(C4=C3C=CC(=N4)C5=CC(=CC=C5)F)N
MKC-3946,CIDs59599728,CN1CCN(CC1)C(=O)C2=CC=C(S2)C3=CC4=C(C=C3)C(=C(C=C4)O)C=O
APY29,CIDs42627755,C1CC1C2=CC(=NN2)NC3=NC(=NC=C3)NC4=CC5=C(C=C4)N=CN5
BI09,CIDs86290458,C1COC(OC1)C2=C(C=CC3=C2OC(=O)C4=C3CCNC4)O
OSU-T315,CIDs118986645,CNC(=O)CCC1=CC(=NN1C2=CC=C(C=C2)N3CCNCC3)C4=CC=C(C=C4)C5=CC=C(C=C5)C(F)(F)F
BMS-536924,CIDs10390396,CC1=CC(=CC2=C1NC(=C3C(=CC=NC3=O)NCC(C4=CC(=CC=C4)Cl)O)N2)N5CCOCC5
NVP-AEW541,CIDs11476171,C1CN(C1)CC2CC(C2)N3C=C(C4=C3N=CN=C4N)C5=CC(=CC=C5)OCC6=CC=CC=C6
ADW-742,CIDs09825149,C1CCN(C1)CC2CC(C2)N3C=C(C4=C3N=CN=C4N)C5=CC(=CC=C5)OCC6=CC=CC=C6
GSK-1838705A,CIDs25182616,CNC(=O)C1=C(C=CC=C1F)NC2=NC(=NC3=C2C=CN3)NC4=C(C=C5CCN(C5=C4)C(=O)CN(C)C)OC
Brigatinib,CIDs68165256,CN1CCN(CC1)C2CCN(CC2)C3=CC(=C(C=C3)NC4=NC=C(C(=N4)NC5=CC=CC=C5P(=O)(C)C)Cl)OC
XL-228,CIDs59757974,CC(C)C1=NOC(=C1)CNC2=NC(=CC(=N2)NC3=NNC(=C3)C4CC4)N5CCN(CC5)C
Entrectinib,CIDs25141092,CN1CCN(CC1)C2=CC(=C(C=C2)C(=O)NC3=NNC4=C3C=C(C=C4)CC5=CC(=CC(=C5)F)F)NC6CCOCC6
Picropodophyllin,CIDs00072435,COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O
BMS-345541,CIDs09813758,CC1=CC2=C(C=C1)N=C(C3=NC=C(N23)C)NCCN
TPCA-1,CIDs09903786,C1=CC(=CC=C1C2=CC(=C(S2)NC(=O)N)C(=O)N)F
GMX-1778,CIDs00148198,C1=CC(=CC=C1OCCCCCCN=C(NC#N)NC2=CC=NC=C2)Cl
IKK-2 Inhibitor VIII,CIDs136216943,C1CC1COC2=CC=CC(=C2C3=NC(=C(C(=C3)C4CCNCC4)C#N)N)O.Cl
AZD-3264,CIDs91666658,CC1=C(C(=NO1)C)C2=CC(=C(C=C2)C3=CC(=C(S3)NC(=O)N)C(=O)N)OC4CCNC4
LY-2409881,CIDs68856073,CN1CCN(CC1)CCCNC2=NC=C(C(=N2)C3=CC4=C(C=CC=C4S3)C(=O)NC5CC5)Cl.Cl.Cl.Cl
IKK-3 Inhibitor IX,CIDs11626927,COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C#N)OCC4=CC=CC=C4S(=O)(=O)C)OC
MRT-68601 hydrochloride,CIDs44465558,C1CC(C1)C(=O)NCCCNC2=NC(=NC=C2C3CC3)NC4=CC=C(C=C4)N5CCOCC5
ITK Inhibitor,CIDs20635522,CC1=C(C=C(C(=C1)OC)C(=O)N2CCN(CC2)C(=O)C)SC3=CN=C(S3)NC(=O)C4=CC=C(C=C4)CNC(C)C(C)C
GSK-2250665A,CIDs73352604,CCC1=CC2=C(C=C1)N=C(S2)NC3=NC(=NC(=C3)CC4=CC=CC=C4)NC5CCC(CC5)O
Pyridone 6,CIDs05494425,CC(C)(C)C1=NC2=C(N1)C3=C(C=C(C=C3)F)C4=C2C=CNC4=O
Cerdulatinib,CIDs44595079,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N
Solcitinib,CIDs44603362,CC1(CN(C1)C(=O)C2=CC=C(C=C2)C3=CC=CC4=NC(=NN43)NC(=O)C5CC5)C
Itacitinib,CIDs53380437,C1CN(CCC1N2CC(C2)(CC#N)N3C=C(C=N3)C4=C5C=CNC5=NC=N4)C(=O)C6=C(C(=NC=C6)C(F)(F)F)F
Filgotinib,CIDs49831257,C1CC1C(=O)NC2=NN3C(=N2)C=CC=C3C4=CC=C(C=C4)CN5CCS(=O)(=O)CC5
ZM-39923,CIDs00003797,CC(C)N(CCC(=O)C1=CC2=CC=CC=C2C=C1)CC3=CC=CC=C3
TG-101209,CIDs16722832,CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)N4CCN(CC4)C
CHZ868,CIDs91885989,CC1=C(C=CC2=C1N=C(N2C)NC3=C(C=C(C=C3)F)F)OC4=CC(=NC=C4)NC(=O)C
Gandotinib,CIDs46213929,CC1=CC(=NN1)NC2=NN3C(=C(N=C3C(=C2)CN4CCOCC4)C)CC5=C(C=C(C=C5)Cl)F
BMS-911543,CIDs50922691,CCN1C(=CC2=C3C(=C(N=C21)NC4=NN(C(=C4)C)C)N=CN3C)C(=O)N(C5CC5)C6CC6
Baricitinib,CIDs44205240,CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3
TG-89,CIDs16723044,CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=CC(=C3)CN4CCOCC4
TG-46,CIDs16722834,CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)CN4CCOCC4
CEP-33779,CIDs57336812,CN1CCN(CC1)C2=CC(=CC=C2)NC3=NN4C=CC=C(C4=N3)C5=CC=C(C=C5)S(=O)(=O)C
XL-019,CIDs57990869,C1CC(NC1)C(=O)NC2=CC=C(C=C2)C3=NC(=NC=C3)NC4=CC=C(C=C4)N5CCOCC5
AZ-960,CIDs25099184,CC1=CC(=NN1)NC2=C(C=C(C(=N2)NC(C)C3=CC=C(C=C3)F)C#N)F
Roniciclib,CIDs71494949,CC(C(C)OC1=NC(=NC=C1C(F)(F)F)NC2=CC=C(C=C2)S(=N)(=O)C3CC3)O
Decernotinib,CIDs59422203,CCC(C)(C(=O)NCC(F)(F)F)NC1=NC(=NC=C1)C2=CNC3=C2C=CC=N3
JAK3i,CIDs118705186,CCOC(=O)C1=CNC2=NC=NC(=C12)C3=C(C=CC(=C3)NC(=O)C=C)F
Peficitinib,CIDs57928435,C1C2CC3CC(C2)(CC1C3NC4=C5C=CNC5=NC=C4C(=O)N)O
PF-06651600,CIDs118115473,CC1CCC(CN1C(=O)C=C)NC2=NC=NC3=C2C=CN3
Olmutinib,CIDs54758501,CN1CCN(CC1)C2=CC=C(C=C2)NC3=NC4=C(C(=N3)OC5=CC=CC(=C5)NC(=O)C=C)SC=C4
Cucurbitacin I,CIDs05281321,CC1(C2=CCC3C4(CC(C(C4(CC(=O)C3(C2C=C(C1=O)O)C)C)C(C)(C(=O)C=CC(C)(C)O)O)O)C)C
Tyrphostin B42,CIDs05328779,C1=CC=C(C=C1)CNC(=O)C(=CC2=CC(=C(C=C2)O)O)C#N
Napabucasin,CIDs10331844,CC(=O)C1=CC2=C(O1)C(=O)C3=CC=CC=C3C2=O
C-188-9,CIDs01324494,COC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)C4=C(C=CC5=CC=CC=C54)O
Ursolic acid,CIDs00064945,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O
Cryptotanshinone,CIDs00160254,CC1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C
S31-201,CIDs00252682,CC1=CC=C(C=C1)S(=O)(=O)OCC(=O)NC2=CC(=C(C=C2)C(=O)O)O
STX-0119,CIDs04253236,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)NC4=NN=C(O4)C5=CC=CO5
BP-1-102,CIDs53388144,CN(CC(=O)N(CC1=CC=C(C=C1)C2CCCCC2)C3=CC(=C(C=C3)C(=O)O)O)S(=O)(=O)C4=C(C(=C(C(=C4F)F)F)F)F
LLL-12,CIDs46911017,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C(=CC=C3)S(=O)(=O)N
WP-1066,CIDs11210478,CC(C1=CC=CC=C1)NC(=O)C(=CC2=NC(=CC=C2)Br)C#N
TCS-JNK-5a,CIDs00766949,C1CCC2=C(C1)C(=C(S2)NC(=O)C3=CC=CC4=CC=CC=C43)C#N
CC-401,CIDs10430360,C1CCN(CC1)CCOC2=CC=CC(=C2)C3=NNC4=C3C=C(C=C4)C5=NC=NN5
AS-602801,CIDs10195250,C1COCCN1CC2=CC=C(C=C2)COC3=NC=CC(=N3)C(C#N)C4=NC5=CC=CC=C5S4
JNK Inhibitor V,CIDs11422035,C1=CC=C2C(=C1)NC(=C(C#N)C3=NC(=NC=C3)NCCC4=CN=CC=C4)S2
HMSL10058,CIDs57394468,C1CC(CCC1NC2=NC=C3C(=N2)N(C(=N3)NC4=C(C=C(C=C4F)F)F)C5CCOC5)O
AMG-25,CIDs24879368,CC1=C(C(=O)N(C=C1)C2=CC=C(C=C2)C3=NC=CO3)C4=CC5=CN=C(N=C5C=C4)N
ARS-853,CIDs86279165,CC1(CC1)C2=CC(=C(C=C2Cl)O)NCC(=O)N3CCN(CC3)C4CN(C4)C(=O)C=C
Deltarasin,CIDs73292904,C1CNCCC1C(COC2=CC=C(C=C2)C3=NC4=CC=CC=C4N3CC5=CC=CC=C5)N6C7=CC=CC=C7N=C6C8=CC=CC=C8
A-770041,CIDs09549184,CC(=O)N1CCN(CC1)C2CCC(CC2)N3C4=C(C(=N3)C5=CC(=C(C=C5)NC(=O)C6=CC7=CC=CC=C7N6C)OC)C(=NC=N4)N
HMSL10038,CIDs11844351,CC1=C(C(=CC=C1)C)OC(=O)N(C2=C(C=C(C=C2)OC)OC)C3=NC(=NC=C3)NC4=CC=C(C=C4)N5CCN(CC5)C
LRRK2-IN-1,CIDs46843906,CN1CCN(CC1)C2CCN(CC2)C(=O)C3=CC(=C(C=C3)NC4=NC=C5C(=N4)N(C6=CC=CC=C6C(=O)N5C)C)OC
Hg-10-102-01,CIDs58539301,CNC1=NC(=NC=C1Cl)NC2=C(C=C(C=C2)C(=O)N3CCOCC3)OC
GSK-2578215A,CIDs68107965,C1=CC=C(C=C1)COC2=C(C=C(C=C2)C3=CC(=NC=C3)F)C(=O)NC4=CN=CC=C4
GNE-9605,CIDs76328936,CNC1=NC(=NC=C1C(F)(F)F)NC2=C(N(N=C2)C3CCN(CC3F)C4COC4)Cl
PF-06447475,CIDs72706840,C1COCCN1C2=NC=NC3=C2C(=CN3)C4=CC=CC(=C4)C#N
PF-06454589,CIDs72706837,CN1C=C(C=N1)C2=CNC3=C2C(=NC=N3)N4CCOCC4
CGP-74588 (N-Desmethyl imatinib),CIDs09869737,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCNCC3)NC4=NC=CC(=N4)C5=CN=CC=C5
Compound 2,CIDs118873492,C1=CC(=CC(=C1)S(=O)(=O)NC2=C3C(=C(C=C2)C4=CN=CC=C4)C=CC=N3)C(F)(F)F
BMS-3,CIDs73265272,C1CC1C(=O)NC2=NC=C(S2)C3=CC(=NN3C4=C(C=CC=C4Cl)Cl)C(F)F
BMS-4,CIDs46192505,CCNC(=O)NC1=NC=C(S1)C2=NC(=NC(=C2)C3=C(C=C(C=C3C)OC)C)C4=NC=CN=C4
LX-7101,CIDs56962369,CC1=CNC2=C1C(=NC=N2)N3CCC(CC3)(CN)C(=O)NC4=CC(=CC=C4)OC(=O)N(C)C
Tolimidone,CIDs00039065,CC1=CC(=CC=C1)OC2=CNC(=O)N=C2
SU-6656,CIDs05312137,CN(C)S(=O)(=O)C1=CC2=C(C=C1)NC(=O)C2=CC3=CC4=C(N3)CCCC4
Merestinib,CIDs44603533,CC1=CC=C(C(=O)N1C2=CC=C(C=C2)F)C(=O)NC3=CC(=C(C=C3)OC4=C(C=C5C(=C4)C=NN5C)C6=CNN=C6)F
SL-0101-1,CIDs10459196,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)OC(=O)C)OC(=O)C
PF-3644022,CIDs44631903,CC1CNC2=C(C(=O)N1)SC3=C2C4=C(C=C3)N=C(C=C4)C5=CN=C(C=C5)C
SL-327,CIDs09549284,C1=CC=C(C(=C1)C(=C(N)SC2=CC=C(C=C2)N)C#N)C(F)(F)F
Hypothemycin,CIDs09929643,CC1CC=CC(=O)C(C(CC2C(O2)C3=CC(=CC(=C3C(=O)O1)O)OC)O)O
ARRY-162,CIDs10288191,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)F)C(=O)NOCCO
Pimasertib,CIDs44187362,C1=CC(=C(C=C1I)F)NC2=C(C=CN=C2)C(=O)NCC(CO)O
PD-318088,CIDs10231331,C1=CC(=C(C=C1I)F)NC2=C(C(=C(C=C2C(=O)NOCC(CO)O)Br)F)F
BIX-02189,CIDs135659062,CN(C)CC1=CC(=CC=C1)N=C(C2=CC=CC=C2)C3=C(NC4=C3C=CC(=C4)C(=O)N(C)C)O
PD-184352,CIDs06918454,C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl
NCGC00346543,CIDs135742497,CNC(=O)C1=CC2=C(C=C1)C(=C(N2)O)C(=NC3=CC=CC(=C3)CN(C)C)C4=CC=CC=C4
Cobimetinib,CIDs16222096,C1CCNC(C1)C2(CN(C2)C(=O)C3=C(C(=C(C=C3)F)F)NC4=C(C=C(C=C4)I)F)O
RO-4987655,CIDs11548630,C1CC(=O)N(OC1)CC2=C(C(=C(C(=C2)C(=O)NOCCO)NC3=C(C=C(C=C3)I)F)F)F
AZD-8330,CIDs16666708,CC1=CC(=C(N(C1=O)C)NC2=C(C=C(C=C2)I)F)C(=O)NOCCO
GDC-0623,CIDs42642654,C1=CC(=C(C=C1I)F)NC2=C(C=CC3=CN=CN32)C(=O)NOCCO
PD-098059,CIDs00004713,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
FR-180204,CIDs11493598,C1=CC=C(C=C1)C2=NN3C=CC=CC3=C2C4=CC5=C(NN=C5N=N4)N
Ravoxertinib,CIDs71727581,CN1C(=CC=N1)NC2=NC=CC(=N2)C3=CC(=O)N(C=C3)C(CO)C4=CC(=C(C=C4)Cl)F
PD-198306,CIDs09956637,CC1=C(C=CC(=C1)I)NC2=C(C(=C(C=C2C(=O)NOCC3CC3)F)F)F
SCH-772984,CIDs24866313,C1CN(CC1C(=O)NC2=CC3=C(C=C2)NN=C3C4=CC=NC=C4)CC(=O)N5CCN(CC5)C6=CC=C(C=C6)C7=NC=CC=N7
Ulixertinib,CIDs11719003,CC(C)NC1=NC=C(C(=C1)C2=CNC(=C2)C(=O)NC(CO)C3=CC(=CC=C3)Cl)Cl
LY-3214996,CIDs121408882,CC1(C2=C(C=C(S2)C3=NC(=NC=C3)NC4=CC=NN4C)C(=O)N1CCN5CCOCC5)C
VS-4718,CIDs25073775,CNC(=O)C1=CC=CC=C1NC2=CC(=NC=C2C(F)(F)F)NC3=C(C=C(C=C3)N4CCOCC4)OC
TIC-10,CIDs73777259,CC1=CC=CC=C1CN2C(=O)C3=C(CCN(C3)CC4=CC=CC=C4)N5C2=NCC5
XMD17-109,CIDs71604307,CCOC1=C(C=CC(=C1)C(=O)N2CCC(CC2)N3CCN(CC3)C)NC4=NC=C5C(=N4)N(C6=CC=CC=C6C(=O)N5C)C7CCCC7
XMD17-109 (ERK5-IN-1),CIDs71604307,CCOC1=C(C=CC(=C1)C(=O)N2CCC(CC2)N3CCN(CC3)C)NC4=NC=C5C(=N4)N(C6=CC=CC=C6C(=O)N5C)C7CCCC7
BIX02188,CIDs66524294,CN(C)CC1=CC(=CC=C1)NC(=C2C3=C(C=C(C=C3)C(=O)N)NC2=O)C4=CC=CC=C4
OTS-167,CIDs135398499,CC(=O)C1=CN=C2C=CC(=NC2=C1NC3CCC(CC3)CN(C)C)C4=CC(=C(C(=C4)Cl)O)Cl
UNC-569,CIDs53355503,CCCCNC1=NC=C2C(=NN(C2=N1)CC3CCC(CC3)N)C4=CC=C(C=C4)F
UNC2250,CIDs73211763,CCCCNC1=NC=C(C(=N1)NC2CCC(CC2)O)C3=NC=C(C=C3)CN4CCOCC4
MPS1-IN-1,CIDs25195352,CC(C)S(=O)(=O)C1=CC=CC=C1NC2=CC(=NC3=C2C=CN3)NC4=C(C=C(C=C4)N5CCC(CC5)O)OC
MPI-0479605,CIDs46909588,CC1=C(C=CC(=C1)N2CCOCC2)NC3=NC4=C(C(=N3)NC5CCCCC5)NC=N4
SB-747651-A,CIDs11393719,CCN1C2=C(C=NC=C2CNC3CCNCC3)N=C1C4=NON=C4N
XMU-MP-1,CIDs121499143,CN1C2=C(C(=O)N(C3=CN=C(N=C31)NC4=CC=C(C=C4)S(=O)(=O)N)C)SC=C2
ML-7,CIDs00004216,C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CC=C3I
